timestamp,pstate,temperature.gpu,power.draw [W],clocks.current.sm [MHz],clocks.current.memory [MHz],utilization.gpu [%],tag
2026/07/12 03:08:16.961, P5, 50, 6.58 W, 255 MHz, 810 MHz, 5 %,before_current_cublas_profile0_run4
2026/07/12 03:08:21.180, P3, 51, 13.71 W, 1890 MHz, 7000 MHz, 0 %,after_current_cublas_profile0_run4
2026/07/12 03:08:23.251, P8, 50, 6.57 W, 225 MHz, 405 MHz, 6 %,before_old_host_o2_cublas_run4
2026/07/12 03:08:27.655, P5, 51, 13.66 W, 435 MHz, 810 MHz, 1 %,after_old_host_o2_cublas_run4
2026/07/12 03:08:29.727, P8, 50, 4.32 W, 210 MHz, 405 MHz, 6 %,before_old_original_cublas_run4
2026/07/12 03:08:34.131, P3, 51, 13.82 W, 1890 MHz, 7000 MHz, 0 %,after_old_original_cublas_run4
2026/07/12 03:08:36.189, P3, 50, 8.52 W, 1890 MHz, 7000 MHz, 5 %,before_old_original_cublas_run5
2026/07/12 03:08:40.544, P3, 51, 13.80 W, 1890 MHz, 7000 MHz, 0 %,after_old_original_cublas_run5
2026/07/12 03:08:42.615, P8, 50, 4.41 W, 210 MHz, 405 MHz, 6 %,before_old_host_o2_cublas_run5
2026/07/12 03:08:47.005, P3, 51, 13.74 W, 1890 MHz, 7000 MHz, 1 %,after_old_host_o2_cublas_run5
2026/07/12 03:08:49.068, P8, 50, 6.67 W, 285 MHz, 405 MHz, 5 %,before_current_cublas_profile0_run5
2026/07/12 03:08:53.287, P3, 51, 13.72 W, 1890 MHz, 7000 MHz, 0 %,after_current_cublas_profile0_run5
2026/07/12 03:08:55.361, P8, 50, 4.31 W, 270 MHz, 405 MHz, 5 %,before_current_cublas_profile1_run5
2026/07/12 03:08:59.754, P3, 51, 13.59 W, 1890 MHz, 7000 MHz, 0 %,after_current_cublas_profile1_run5
